ID,Year_Birth,Education,MaritalStatus,Income,Recency,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Response
11000,1969,Graduation,Together,23228,71,2,3,8,0
11001,1963,PhD,Single,48918,21,1,4,4,0
11002,1951,Master,Married,67381,67,2,9,7,0
11003,1979,Graduation,Single,61825,56,4,8,4,0
11004,1969,Graduation,Married,44078,17,2,3,5,0
11005,1981,Graduation,Single,41967,66,1,3,4,0
11006,1955,PhD,Together,75261,17,5,5,2,1
11007,1989,Graduation,Married,28691,56,1,3,8,0
11008,1983,Graduation,Single,24072,79,1,2,8,0
11009,1981,2n Cycle,Together,19414,32,1,3,8,0
11010,1965,Graduation,Married,58692,21,8,4,7,0
11011,1952,Graduation,Married,62998,10,5,5,5,0
11012,1969,Graduation,Married,42231,99,1,3,5,0
11013,1956,Master,Married,62058,52,6,7,6,0
11014,1980,Graduation,Single,51766,74,4,4,5,0
11015,1975,Graduation,Single,42160,26,2,4,6,1
11016,1976,PhD,Married,16927,50,3,4,8,0
11017,1971,Graduation,Single,26954,17,1,2,7,0
11018,1982,2n Cycle,Together,66664,78,5,6,3,0
11019,1979,Graduation,Married,2447,42,0,0,1,0
11020,1995,Graduation,Single,71163,30,3,12,1,0
11021,1988,Graduation,Single,20518,58,1,2,5,0
11022,1956,Graduation,Married,79456,12,5,4,3,1
11023,1973,Graduation,Married,65308,60,7,12,4,0
11024,1962,Graduation,Married,83715,2,2,13,0,0
11025,1966,PhD,Single,7144,92,23,1,0,0
11026,1964,PhD,Married,45759,13,2,3,7,0
11027,1971,Master,Together,71499,12,8,13,4,0
11028,1950,PhD,Together,59292,71,3,8,3,0
11029,1970,Graduation,Together,19656,94,2,3,7,0
11030,1987,PhD,Single,74004,5,4,4,3,1
11031,1970,Graduation,Together,105471,36,9,13,3,1
11032,1984,Graduation,Married,31761,96,3,4,5,0
11033,1976,Graduation,Married,5305,12,1,0,13,0
11034,1966,Graduation,Together,57811,49,7,11,5,0
11035,1961,Graduation,Single,30081,27,1,3,7,0
11036,1981,PhD,Single,,82,3,3,6,0
11037,1958,Graduation,Together,64961,97,6,4,3,0
11038,1970,Graduation,Single,83273,98,4,9,7,0
11039,1950,2n Cycle,Together,52203,36,8,11,6,0
11040,1966,Master,Divorced,29435,11,3,2,9,1
11041,1972,Master,Married,53761,7,4,3,5,0
11042,1987,Master,Single,41020,68,3,4,3,0
11043,1953,Graduation,Together,41452,86,1,2,7,0
11044,1946,Master,Married,68657,4,3,9,7,0
11045,1950,PhD,Widow,76842,37,1,7,0,0
11046,1973,PhD,Divorced,35860,37,1,2,5,1
11047,1974,PhD,Together,28440,87,2,3,8,0
11048,1952,2n Cycle,Divorced,63998,42,7,11,4,1
11049,1975,Master,Together,53253,61,4,5,5,0
11050,1978,Graduation,Divorced,71022,30,5,11,8,0
11051,1976,Master,Single,60482,81,7,7,7,0
11052,1945,PhD,Married,70356,20,10,9,6,0
11053,1968,Graduation,Single,75922,60,4,9,1,0
11054,1974,PhD,Divorced,25509,15,3,3,9,1
11055,1995,Graduation,Single,34824,65,1,2,6,0
11056,1970,PhD,Together,65968,12,5,7,3,0
11057,1972,Graduation,Married,38988,90,5,6,8,0
11058,1971,Graduation,Married,66303,56,3,11,8,0
11059,1965,2n Cycle,Married,70924,41,6,7,3,0
11060,1972,Graduation,Married,30675,14,1,3,8,0
11061,1956,Master,Single,86424,12,6,12,1,0
11062,1981,PhD,Married,87171,27,6,11,2,0
11063,1957,PhD,Married,82017,58,5,7,2,1
11064,1978,PhD,Single,31626,12,2,2,7,1
11065,1967,Graduation,Married,61223,46,9,4,5,0
11066,1969,Graduation,Single,30822,92,1,3,7,0
11067,1955,Graduation,Together,76005,72,3,13,6,0
11068,1950,Graduation,Together,48070,33,8,6,7,0
11069,1982,PhD,Together,70038,54,4,8,2,0
11070,1948,Graduation,Together,70666,29,7,4,4,0
11071,1973,Graduation,Married,37971,97,1,3,8,0
11072,1979,Graduation,Married,7500,61,1,2,8,0
11073,1953,Graduation,Divorced,23272,29,1,3,4,0
11074,1959,Graduation,Married,65492,73,4,13,2,0
11075,1965,Graduation,Married,59594,74,8,7,7,0
11076,1976,Graduation,Single,37697,82,2,3,6,0
11077,1979,Master,Together,62499,0,3,6,4,0
11078,1957,PhD,Divorced,41437,5,1,3,7,0
11079,1981,Graduation,Single,91065,33,7,9,3,1
11080,1961,PhD,Together,66426,14,3,10,6,0
11081,1955,Graduation,Single,62535,13,3,8,3,0
